,title,director0,attr0,attr1,attr2,genre0,genre1,genre2,region0,lang0,ReleaseDate,rd0,rd1,rd2,rd3,rd4,rd5,rd6,rd7,rd8,rd9
57,霍比特人1：意外之旅 The Hobbit: An Unexpected Journey,彼得·杰克,伊恩·麦克莱恩,马丁·弗瑞曼,理查德·阿米蒂奇,动作,奇幻,冒险,美国,英语,2012,霍比特人2：史矛革之战,指环王1：护戒使者,加勒比海盗2：聚魂棺,哈利·波特与密室,神奇动物在哪里,少年派的奇幻漂流,奇异博士,驯龙高手2,惊天魔盗团,头号玩家
58,英雄本色2,吴宇,狄龙,张国荣,周润发,剧情,动作,犯罪,中国香港,国语,1987,英雄本色3：夕阳之歌,喋血双雄,古惑仔之人在江湖,新上海滩,精武英雄,赌神2,监狱风云,纵横四海,黑社会,无间道2
59,启示 Apocalypto,梅尔·吉布,鲁迪·杨布拉德,达利娅·埃尔南德斯,乔纳森·布雷维尔,剧情,动作,冒险,美国,英语,2006,勇闯夺命岛,飓风营救,国家公敌,谍影重重3,空中监狱,暴力街区,变脸,角斗士,突袭,疯狂的麦克斯4：狂暴之路
60,疯狂的赛车,宁,黄渤,戎祥,九孔,喜剧,动作,冒险,中国大陆,国语,2009,疯狂的石头,国产凌凌漆,九品芝麻官,食神,甲方乙方,鹿鼎记,人在囧途,逃学威龙,大腕,唐伯虎点秋香
61,鹿鼎记 鹿鼎記,王,周星驰,吴孟达,张敏,喜剧,动作,武侠,中国香港,国语,1992,鹿鼎记2：神龙教,逃学威龙,食神,国产凌凌漆,赌圣,整蛊专家,九品芝麻官,百变星君,审死官,赌侠
62,杀死比尔 Kill Bill: Vol. 1,昆汀·塔伦蒂,乌玛·瑟曼,刘玉玲,薇薇卡·福克斯,动作,惊悚,犯罪,美国,英语,2003,杀死比尔2,被解救的姜戈,罪恶之城,搏击俱乐部,落水狗,疯狂的麦克斯4：狂暴之路,八恶人,发条橙,谍影重重3,低俗小说
63,喋血双雄 喋血雙雄,吴宇,周润发,李修贤,叶倩文,剧情,动作,惊悚,中国香港,国语,1989,英雄本色2,喋血街头,辣手神探,和平饭店,精武英雄,给爸爸的信,监狱风云,枪火,龙虎风云,暗战
64,银翼杀手2049 Blade Runner 2049,丹尼斯·维伦纽,瑞恩·高斯林,哈里森·福特,安娜·德·阿玛斯,剧情,动作,科幻,美国,英语,2017,银翼杀手,降临,2001太空漫游,黑客帝国,这个男人来自地球,头号玩家,沙丘,第九区,火星救援,明日边缘
65,变形金刚 Transformers,迈克尔·,希亚·拉博夫,梅根·福克斯,乔什·杜哈明,动作,科幻,unknown,美国,英语,2007,变形金刚2,钢铁侠,黑客帝国2：重装上阵,我，机器人,终结者2：审判日,我是传奇,蜘蛛侠,X战警,复仇者联盟,侏罗纪公园
66,监狱风云 監獄風雲,林岭,周润发,梁家辉,何家驹,剧情,动作,犯罪,中国香港,国语,1987,监狱风云2：逃犯,英雄本色2,喋血双雄,黑社会,精武英雄,黑金,枪火,古惑仔3之只手遮天,门徒,赌神2
67,第九区 District 9,尼尔·布洛姆坎,沙尔托·科普雷,詹森·库伯,娜塔莉·博尔特,剧情,动作,科幻,美国,英语,2009,这个男人来自地球,我是传奇,黑客帝国3：矩阵革命,我，机器人,变形金刚,终结者2：审判日,E.T.外星人,月球,阿凡达,回到未来
68,金刚狼3：殊死一战 Logan,詹姆斯·曼高,休·杰克曼,帕特里克·斯图尔特,达芙妮·基恩,剧情,动作,科幻,美国,英语,2017,X战警：逆转未来,美国队长3,金刚狼,钢铁侠,复仇者联盟,蚁人,蜘蛛侠,变形金刚,超凡蜘蛛侠2,神奇女侠
69,精英部队2：大敌当前 Tropa de Elite 2 - O Inimigo Agora É Outro,何塞·帕迪里,瓦格纳·马拉,安德烈·拉米罗,米尔黑·考塔兹,剧情,动作,惊悚,巴西,葡萄牙语,2010,精英部队,王牌对王牌,洛城机密,飓风营救,盗火线,训练日,勇闯夺命岛,上帝之城,黑社会,枪火
70,加勒比海盗3：世界的尽头 Pirates of the Caribbean: At World's End,戈尔·维宾斯,约翰尼·德普,杰弗里·拉什,奥兰多·布鲁姆,动作,奇幻,冒险,美国,英语,2007,加勒比海盗2：聚魂棺,霍比特人1：意外之旅,哈利·波特与火焰杯,指环王1：护戒使者,博物馆奇妙夜,查理和巧克力工厂,碟中谍4,功夫,九品芝麻官,大话西游之月光宝盒
71,星球大战 Star Wars,乔治·卢卡,哈里森·福特,马克·哈米尔,凯丽·费雪,动作,科幻,冒险,美国,英语,1977,星球大战2：帝国反击战,黑客帝国2：重装上阵,终结者,回到未来,2001太空漫游,侏罗纪公园,星际迷航,变形金刚,银翼杀手,E.T.外星人
72,罪恶之城 Sin City,弗兰克·米,杰西卡·阿尔芭,布鲁斯·威利斯,克里夫·欧文,动作,惊悚,犯罪,美国,英语,2005,美国X档案,杀死比尔,罪恶之城2,落水狗,天生杀人狂,搏击俱乐部,上帝之城,空中监狱,发条橙,出租车司机
73,天若有情,陈木,刘德华,吴倩莲,吴孟达,剧情,动作,爱情,中国香港,国语,1990,秋天的童话,阿郎的故事,旺角卡门,天若有情3烽火佳人,胭脂扣,甜蜜蜜,倩女幽魂2：人间道,烈火战车,花样年华,龙在江湖
74,红海行动,林超,张译,黄景瑜,海清,动作,战争,unknown,中国大陆,国语,2018,战狼2,血战钢锯岭,拯救大兵瑞恩,敦刻尔克,我和我的祖国,湄公河行动,1917,集结号,黑鹰坠落,穿条纹睡衣的男孩
75,暗花,游达,刘青云,梁朝伟,邵美琪,剧情,动作,悬疑,中国香港,国语,1998,黑社会,枪火,放·逐,黑金,一个字头的诞生,跛豪,机动部队,真心英雄,神探,喋血街头
76,黄飞鸿 黃飛鴻,徐,李连杰,元彪,关之琳,剧情,动作,武侠,中国香港,国语,1991,黄飞鸿之二：男儿当自强,太极张三丰,精武英雄,方世玉,笑傲江湖2：东方不败,倚天屠龙记之魔教教主,少林寺,新少林五祖,给爸爸的信,中南海保镖
77,老男孩 올드보이,朴赞,崔岷植,刘智泰,姜惠贞,剧情,动作,悬疑,韩国,韩语,2003,黄海,我要复仇,搏击俱乐部,杀人回忆,亲切的金子,追击者,记忆碎片,非常嫌疑犯,穆赫兰道,禁闭岛
78,盗火线 Heat,迈克尔·,阿尔·帕西诺,罗伯特·德尼罗,方·基默,剧情,动作,惊悚,美国,英语,1995,情枭的黎明,忠奸人,赌城风云,好家伙,疤面煞星,洛城机密,训练日,热天午后,美国黑帮,勇闯夺命岛
79,铁甲钢拳 Real Steel,肖恩·利,休·杰克曼,达科塔·高尤,凯文·杜兰,剧情,动作,科幻,美国,英语,2011,我，机器人,变形金刚,明日边缘,黑客帝国2：重装上阵,终结者2：审判日,我是传奇,猩球崛起,X战警：逆转未来,钢铁侠,复仇者联盟
80,王牌对王牌 The Negotiator,F·加里·格,塞缪尔·杰克逊,凯文·史派西,大卫·摩斯,剧情,动作,悬疑,美国,英语,1998,洛城机密,非常嫌疑犯,火柴人,一级恐惧,大卫·戈尔的一生,局内人,守法公民,十一罗汉,空中监狱,追随
81,用心棒,黑泽,三船敏郎,仲代达矢,司叶子,剧情,动作,惊悚,日本,日语,1961,椿三十郎,大菩萨岭,荒野大镖客,姿三四郎,夺命剑,黄昏双镖客,战国英豪,侠女,日落黄沙,关山飞渡
82,飓风营救 Taken,皮埃尔·莫瑞,连姆·尼森,玛姬·格蕾斯,法米克·詹森,剧情,动作,惊悚,法国,法语,2008,勇闯夺命岛,飓风营救2,谍影重重3,碟中谍4,空中监狱,速度与激情5,生死狙击,变脸,暴力街区,金蝉脱壳
83,复仇者联盟 The Avengers,乔斯·韦,小罗伯特·唐尼,克里斯·埃文斯,斯嘉丽·约翰逊,动作,科幻,奇幻,美国,英语,2012,钢铁侠,复仇者联盟2：奥创纪元,美国队长2,雷神2：黑暗世界,银河护卫队,X战警：逆转未来,无敌浩克,蚁人,变形金刚,蜘蛛侠：英雄归来
84,僵尸先生 殭屍先生,刘观,林正英,许冠英,钱小豪,喜剧,动作,奇幻,中国香港,国语,1985,一眉道人,僵尸叔叔,新僵尸先生,灵幻先生,驱魔警察,鬼打鬼,人吓人,回魂夜,鬼咬鬼,开心鬼
85,师父,徐浩,廖凡,宋佳,蒋雯丽,剧情,动作,武侠,中国大陆,国语,2015,卧虎藏龙,箭士柳白猿,黄飞鸿,绣春刀,英雄,新龙门客栈,一代宗师,笑傲江湖2：东方不败,剑雨,倚天屠龙记之魔教教主
86,功夫熊猫 Kung Fu Panda,马克·奥斯,杰克·布莱克,达斯汀·霍夫曼,安吉丽娜·朱莉,喜剧,动作,动画,美国,英语,2008,功夫熊猫2,玩具总动员,冰川时代2：融冰之灾,美食总动员,赛车总动员,超人总动员,花木兰,马达加斯加,大闹天宫,天空之城
87,明日边缘 Edge of Tomorrow,道格·里,汤姆·克鲁斯,艾米莉·布朗特,布莱丹·格里森,动作,科幻,unknown,美国,英语,2014,X战警：逆转未来,黑客帝国3：矩阵革命,我，机器人,变形金刚,美国队长2,我是传奇,源代码,第九区,环太平洋,钢铁侠
88,绅士们 The Gentlemen,盖·里,马修·麦康纳,查理·汉纳姆,休·格兰特,喜剧,动作,犯罪,英国,英语,2019,偷拐抢骗,两杆大烟枪,爱尔兰人,巴斯特·斯克鲁格斯的歌谣,小人物,好莱坞往事,八恶人,低俗小说,荒蛮故事,猫鼠游戏
89,星球大战前传3：西斯的复仇 Star Wars: Episode III - Revenge of the Sith,乔治·卢卡,伊万·麦克格雷格,娜塔莉·波特曼,海登·克里斯滕森,动作,科幻,奇幻,美国,英语,2005,星球大战前传2：克隆人的进攻,黑客帝国2：重装上阵,终结者,星际迷航,变形金刚,我，机器人,回到未来,侏罗纪公园,X战警2,银翼杀手
90,X战警：逆转未来 X-Men: Days of Future Past,布莱恩·辛,休·杰克曼,詹姆斯·麦卡沃伊,迈克尔·法斯宾德,剧情,动作,科幻,美国,英语,2014,X战警：第一战,美国队长2,复仇者联盟,金刚狼,钢铁侠3,明日边缘,变形金刚,银河护卫队,超凡蜘蛛侠2,雷神2：黑暗世界
91,少林寺,张鑫,李连杰,于海,丁岚,动作,武侠,古装,中国大陆,国语,1982,黄飞鸿,太极张三丰,精武英雄,方世玉,倚天屠龙记之魔教教主,笑傲江湖,新少林五祖,给爸爸的信,中南海保镖,猛龙过江
92,生化危机 Resident Evil,保罗·安德,米拉·乔沃维奇,米歇尔·罗德里格兹,科林·萨蒙,动作,科幻,恐怖,英国,英语,2002,生化危机2：启示录,异形,死神来了,寂静岭,闪灵,招魂,死寂,我是传奇,终结者,黑客帝国2：重装上阵
93,X战警：第一战 X-Men: First Class,马修·沃,詹姆斯·麦卡沃伊,迈克尔·法斯宾德,凯文·贝肯,剧情,动作,科幻,美国,英语,2011,X战警：逆转未来,金刚狼,美国队长2,复仇者联盟,钢铁侠,变形金刚,蜘蛛侠,雷神2：黑暗世界,超凡蜘蛛侠2,银河护卫队
94,西线无战事 Im Westen nichts Neues,爱德华·贝尔,费利克斯·卡默雷尔,阿尔布雷希特·舒赫,亚伦·希尔默,剧情,动作,战争,德国,德语,2022,1917,地狱尖兵,波斯语课,灰猎犬号,有史以来最棒的啤酒运送,拯救大兵瑞恩,兵临城下,黑鹰坠落,敦刻尔克,决战中途岛
95,黑衣人 Men in Black,巴里·索南菲尔,威尔·史密斯,汤米·李·琼斯,琳达·费奥伦蒂诺,喜剧,动作,科幻,美国,英语,1997,黑衣人2,我，机器人,变形金刚,黑客帝国2：重装上阵,终结者,九品芝麻官,我是传奇,回到未来,变相怪杰,食神
96,魁拔Ⅲ战神崛起,王,刘婧荦,姚姝,王宇腾,动作,动画,奇幻,中国大陆,国语,2014,魁拔之十万火急,最后的魁拔,葫芦兄弟,大闹天宫,天书奇谭,龙之谷：破晓奇兵,哪吒闹海,一人之下2番外篇天师下山,天空之城,幽灵公主
97,超人总动员 The Incredibles,布拉德·伯,格雷格·T·尼尔森,霍利·亨特,塞缪尔·杰克逊,喜剧,动作,动画,美国,英语,2004,玩具总动员,赛车总动员,美食总动员,花木兰,虫虫危机,功夫熊猫,海底总动员,怪物史瑞克,冰川时代2：融冰之灾,马达加斯加
98,一代宗师 一代宗師,王家,梁朝伟,章子怡,张震,剧情,动作,爱情,中国大陆,国语,2013,卧虎藏龙,师父,东邪西毒,英雄,花样年华,新龙门客栈,重庆森林,绣春刀,一一,阿飞正传
99,碟中谍6：全面瓦解 Mission: Impossible - Fallout,克里斯托弗·麦奎,汤姆·克鲁斯,亨利·卡维尔,文·瑞姆斯,动作,惊悚,冒险,美国,英语,2018,碟中谍5：神秘国度,谍影重重3,速度与激情7,美国队长3,无双,王牌特工：特工学院,头号玩家,海王,复仇者联盟3：无限战争,钢铁侠
100,天下无贼,冯小,刘德华,刘若英,王宝强,剧情,动作,犯罪,中国大陆,国语,2004,九品芝麻官,食神,国产凌凌漆,鹿鼎记,逃学威龙,唐伯虎点秋香,手机,少林足球,功夫,射雕英雄传之东成西就
101,"我，机器人 I, Robot",亚历克斯·普罗亚,威尔·史密斯,布里吉特·莫伊纳汉,艾伦·图代克,动作,科幻,悬疑,美国,英语,2004,我是传奇,黑客帝国2：重装上阵,终结者,变形金刚,第五元素,独立日,第九区,黑衣人,少数派报告,侏罗纪公园
102,复仇者联盟3：无限战争 Avengers: Infinity War,安东尼·罗,小罗伯特·唐尼,克里斯·海姆斯沃斯,克里斯·埃文斯,动作,科幻,奇幻,美国,英语,2018,美国队长3,复仇者联盟2：奥创纪元,钢铁侠,雷神3：诸神黄昏,奇异博士,头号玩家,X战警：逆转未来,蚁人,无敌浩克,银河护卫队
103,买凶拍人 買兇拍人,彭浩,葛民辉,张达明,詹瑞文,喜剧,动作,犯罪,中国香港,国语,2001,大丈夫,疯狂的赛车,一个字头的诞生,青春梦工场,偷拐抢骗,两杆大烟枪,国产凌凌漆,大腕,有话好好说,金鸡
104,少林足球,周星,周星驰,赵薇 Wei Zhao,吴孟达,喜剧,动作,运动,中国香港,国语,2001,食神,逃学威龙,国产凌凌漆,鹿鼎记,整蛊专家,百变星君,赌圣,九品芝麻官,赌侠,审死官
105,食神,李力,周星驰,莫文蔚,刘以达,喜剧,动作,unknown,中国香港,国语,1996,国产凌凌漆,鹿鼎记,逃学威龙,百变星君,九品芝麻官,整蛊专家,赌圣,少林足球,审死官,大内密探零零发
106,武状元苏乞儿 武狀元蘇乞兒,陈嘉,周星驰,张敏,吴孟达,喜剧,动作,武侠,中国香港,国语,1992,鹿鼎记,逃学威龙,食神,百变星君,整蛊专家,九品芝麻官,国产凌凌漆,赌圣,审死官,大内密探零零发
107,黄飞鸿之二：男儿当自强 黃飛鴻之二男兒當自強,徐,李连杰,关之琳,甄子丹,剧情,动作,爱情,中国香港,国语,1992,黄飞鸿之三：狮王争霸,太极张三丰,精武英雄,方世玉,笑傲江湖2：东方不败,新少林五祖,倚天屠龙记之魔教教主,少林寺,给爸爸的信,中南海保镖
108,逃学威龙 逃學威龍,陈嘉,周星驰,张敏,吴孟达,喜剧,动作,爱情,中国香港,国语,1991,逃学威龙2,整蛊专家,赌圣,百变星君,鹿鼎记,食神,国产凌凌漆,赌侠,九品芝麻官,审死官
109,阿基拉 Akira,大友克,岩田光央,佐佐木望,小山茉美,动作,科幻,动画,日本,日语,1988,回忆三部曲,攻壳机动队,大都会,星际牛仔：天国之门,蒸汽男孩,她的回忆,新世纪福音战士剧场版：Air/...,东京教父,千年女优,人狼
110,银河护卫队 Guardians of the Galaxy,詹姆斯·古,克里斯·帕拉特,佐伊·索尔达娜,布莱德利·库珀,动作,科幻,冒险,美国,英语,2014,银河护卫队2,美国队长2,复仇者联盟,蚁人,钢铁侠3,X战警：逆转未来,雷神3：诸神黄昏,无敌浩克,蜘蛛侠：英雄归来,死侍
111,星球大战2：帝国反击战 Star Wars: Episode V - The Empire Strikes Back,厄文·克什,马克·哈米尔,哈里森·福特,凯丽·费雪,动作,科幻,冒险,美国,英语,1980,星球大战3：绝地归来,黑客帝国2：重装上阵,终结者,回到未来,星际迷航,侏罗纪公园,变形金刚,2001太空漫游,银翼杀手,我，机器人
112,孤胆特工 아저씨,李桢,元斌,金赛纶,坦纳永·王特拉库,剧情,动作,惊悚,韩国,韩语,2010,飓风营救,夺宝联盟,速度与激情5,柏林,碟中谍4,嫌疑人,绝密跟踪,黄海,谍影重重3,老手
113,猩球崛起 Rise of the Planet of the Apes,鲁伯特·瓦耶,安迪·瑟金斯,詹姆斯·弗兰科,芙蕾达·平托,剧情,动作,科幻,美国,英语,2011,猩球崛起2：黎明之战,变形金刚,我是传奇,我，机器人,第九区,钢铁侠,X战警：逆转未来,侏罗纪公园,复仇者联盟,明日边缘
114,终结者 The Terminator,詹姆斯·卡梅,阿诺·施瓦辛格,迈克尔·比恩,琳达·汉密尔顿,动作,科幻,惊悚,美国,英语,1984,终结者2：审判日,黑客帝国2：重装上阵,我，机器人,变形金刚,第五元素,侏罗纪公园,我是传奇,X战警,独立日,蜘蛛侠
115,鹿鼎记2：神龙教 鹿鼎記II 神龍教,王,周星驰,邱淑贞,林青霞,喜剧,动作,武侠,中国香港,国语,1992,鹿鼎记,赌圣,审死官,逃学威龙,整蛊专家,食神,赌侠,百变星君,国产凌凌漆,破坏之王
116,黑客帝国动画版 The Animatrix,钟彼,大塚明夫,克莱顿·华生,帕梅拉·阿德龙,剧情,动作,科幻,美国,英语,2003,回忆三部曲,攻壳机动队,数字复兴·上,世界纪录,现实之外,侦探的故事,少年故事,虚拟程序,阿基拉,人狼
117,空中监狱 Con Air,西蒙·韦斯,尼古拉斯·凯奇,约翰·库萨克,约翰·马尔科维奇,剧情,动作,惊悚,美国,英语,1997,勇闯夺命岛,生死时速,变脸,空军一号,真实的谎言,极速60秒,国家公敌,虎胆龙威4,飓风营救,断箭
118,星球大战3：绝地归来 Star Wars: Episode VI - Return of the Jedi,理查德·马昆,马克·哈米尔,哈里森·福特,安东尼·丹尼尔斯,动作,科幻,冒险,美国,英语,1983,星球大战2：帝国反击战,黑客帝国2：重装上阵,终结者,回到未来,星际迷航,变形金刚,侏罗纪公园,我，机器人,2001太空漫游,银翼杀手
119,无双 無雙,庄文,周润发,郭富城,张静初,剧情,动作,悬疑,中国大陆,国语,2018,看不见的客人,误杀,利刃出鞘,猫鼠游戏,网络谜踪,烈日灼心,调音师,湄公河行动,暴裂无声,杀人回忆
120,精武门 精武門,罗,李小龙,苗可秀,田俊,剧情,动作,爱情,中国香港,国语,1972,猛龙过江,龙争虎斗,唐山大兄,死亡游戏,精武英雄,给爸爸的信,醉拳,红番区,中南海保镖,黄飞鸿之二：男儿当自强
