,title,director0,director1,director2,attr0,attr1,attr2,genre0,genre1,genre2,region0,lang0,lang1,lang2,ReleaseDate,rd0,rd1,rd2,rd3,rd4,rd5,rd6,rd7,rd8,rd9
152,电锯惊魂7 Saw 3D: The Final Chapter,凯文·格劳,unknown,unknown,托宾·贝尔,科斯塔斯·曼迪勒,贝茜·拉塞尔,悬疑,惊悚,恐怖,美国,英语,unknown,unknown,2010,电锯惊魂5,死神来了2,寂静岭,死寂,潜伏,招魂2,咒怨,幻影凶间,万能钥匙,恐怖游轮
153,大侦探福尔摩斯 Sherlock Holmes,盖·里,unknown,unknown,小罗伯特·唐尼,裘德·洛,瑞秋·麦克亚当斯,动作,悬疑,犯罪,美国,英语,unknown,unknown,2009,大侦探福尔摩斯2：诡影游戏,达·芬奇密码,记忆碎片,致命魔术,利刃出鞘,禁闭岛,惊天魔盗团,七宗罪,盗梦空间,风声
154,陆小凤传奇之陆小凤前传,邓衍,unknown,unknown,张智霖,张智尧,杨丽菁,剧情,动作,爱情,中国大陆,国语,unknown,unknown,2007,陆小凤传奇之铁鞋传奇,镖行天下之神武大炮,杨门女将之战地情缘,笑傲江湖2：东方不败,倚天屠龙记之魔教教主,新天龙八部之天山童姥,黄飞鸿,太极张三丰,六指琴魔,少林寺
155,寂静岭 Silent Hill,克里斯多夫·甘,unknown,unknown,拉达·米切尔,祖蒂·弗兰,肖恩·宾,悬疑,恐怖,unknown,加拿大,英语,unknown,unknown,2006,死寂,潜伏,咒怨,死神来了,幻影凶间,招魂,闪灵,鬼影,午夜凶铃,万能钥匙
156,独行杀手 Le samouraï,让-皮埃尔·梅尔维,unknown,unknown,阿兰·德龙,弗朗索瓦·佩里埃,娜塔莉·德龙,剧情,悬疑,惊悚,法国,法语,unknown,unknown,1967,红圈,扒手,怒海沉尸,大黎明,男人的争斗,杀手,法外之徒,通往绞刑架的电梯,眼线,钱
157,古畑任三郎完结篇 重生之死 古畑任三郎ファイナル 今、甦る死,星,unknown,unknown,田村正和,西村雅彦,石井正则,悬疑,犯罪,unknown,日本,日语,unknown,unknown,2006,古畑任三郎 VS SMAP,疑惑,圈套 特别篇,恶魔吹着笛子来,八墓村,犬神家族,女王蜂,伽利略特别篇,十万分之一的偶然,金田一少年事件簿之上海人鱼传说
158,时间旅行者的妻子 The Time Traveler's Wife,罗伯特·斯文,unknown,unknown,瑞秋·麦克亚当斯,艾瑞克·巴纳,阿莱克斯·费瑞斯,剧情,爱情,悬疑,美国,英语,unknown,unknown,2009,附注：我爱你,恋恋笔记本,触不到的恋人,天使之城,爱再来一次,人鬼情未了,他其实没那么喜欢你,诺丁山,和莎莫的500天,两小无猜
159,双瞳 雙瞳,陈国,unknown,unknown,梁家辉,刘若英,戴立忍,剧情,悬疑,惊悚,中国香港,国语,unknown,unknown,2002,僵尸,诡丝,三更,鬼影,潜伏,死寂,见鬼,闪灵,寂静岭,招魂
160,大侦探福尔摩斯2：诡影游戏 Sherlock Holmes: A Game of Shadows,盖·里,unknown,unknown,小罗伯特·唐尼,裘德·洛,瑞秋·麦克亚当斯,动作,悬疑,犯罪,美国,英语,unknown,unknown,2011,大侦探福尔摩斯,达·芬奇密码,致命魔术,记忆碎片,利刃出鞘,禁闭岛,神探夏洛克：可恶的新娘,龙纹身的女孩,惊天魔盗团,七宗罪
161,去年在马里昂巴德 L'année dernière à Marienbad,阿伦·雷,unknown,unknown,德菲因·塞里格,乔治·阿尔贝塔齐,萨夏·皮托埃夫,剧情,爱情,悬疑,法国,法语,unknown,unknown,1961,祖与占,广岛之恋,卡比利亚之夜,蚀,日出,夜,大路,亚特兰大号,奇遇,精疲力尽
162,猎凶风河谷 Wind River,泰勒·谢里,unknown,unknown,杰瑞米·雷纳,伊丽莎白·奥尔森,凯尔西·周,剧情,悬疑,犯罪,英国,英语,unknown,unknown,2017,赴汤蹈火,边境杀手,囚徒,特工,夜行者,套装,恐袭波士顿,老无所依,利刃出鞘,目击者之追凶
163,不朽的园丁 The Constant Gardener,费尔南多·梅里尔,unknown,unknown,拉尔夫·费因斯,蕾切尔·薇兹,哈勃·孔黛,剧情,悬疑,惊悚,英国,英语,unknown,unknown,2005,锅匠，裁缝，士兵，间谍,走出非洲,高斯福庄园,影子写手,英国病人,爱到尽头,神秘河,谜一样的双眼,面纱,奥斯卡与露辛达
164,妖夜慌踪 Lost Highway,大卫·林,unknown,unknown,比尔·普尔曼,帕特丽夏·阿奎特,巴萨扎·盖提,悬疑,惊悚,unknown,法国,法语,unknown,unknown,1997,内陆帝国,双峰：与火同行,穆赫兰道,放大,怪房客,罗斯玛丽的婴儿,迷魂记,惊魂记,闪灵,冷血惊魂
165,国家宝藏 National Treasure,乔·德特杜,unknown,unknown,尼古拉斯·凯奇,黛安·克鲁格,贾斯汀·巴萨,动作,悬疑,冒险,美国,英语,unknown,unknown,2004,国家宝藏：夺宝秘笈,勇闯夺命岛,碟中谍3,极速60秒,空中监狱,夺宝奇兵,古墓丽影,空军一号,虎胆龙威4,生死时速
166,悬崖之上,张艺,unknown,unknown,张译,于和伟,秦海璐,剧情,动作,悬疑,中国大陆,国语,unknown,unknown,2021,利刃出鞘,误杀,看不见的客人,扬名立万,禁闭岛,风声,控方证人,致命魔术,网络谜踪,无双
167,丁丁历险记 The Adventures of Tintin: The Secret of the Unicorn,史蒂文·斯皮尔伯,unknown,unknown,杰米·贝尔,安迪·瑟金斯,丹尼尔·克雷格,动作,动画,悬疑,美国,英语,unknown,unknown,2011,玩具总动员,赛车总动员,超级大坏蛋,马达加斯加3,穿靴子的猫,超人总动员,花木兰,美食总动员,功夫熊猫,闪电狗
168,催眠大师,陈正,unknown,unknown,徐峥,莫文蔚,胡静,悬疑,惊悚,unknown,中国大陆,国语,unknown,unknown,2014,记忆大师,看不见的客人,全民目击,禁闭岛,十二公民,致命魔术,利刃出鞘,风声,唐人街探案,恐怖游轮
169,白日焰火,刁亦,unknown,unknown,廖凡,桂纶镁,王学兵,剧情,悬疑,犯罪,中国大陆,国语,unknown,unknown,2014,南方车站的聚会,烈日灼心,追凶者也,杀人回忆,催眠大师,神探,全民目击,看不见的客人,暴裂无声,心迷宫
170,鬼影 ชัตเตอร์ กดติดวิญญาณ,班庄·比辛达拿,unknown,unknown,阿南达·爱华灵咸,娜特慧兰·塔美,阿西塔·西卡玛娜,悬疑,惊悚,恐怖,泰国,泰语,unknown,unknown,2004,死神的十字路口,厉鬼将映,咒怨,死寂,鬼乱5,潜伏,午夜凶铃,招魂,恶魔的艺术2：邪降,寂静岭
171,扫毒 掃毒,陈木,unknown,unknown,古天乐,张家辉,刘青云,剧情,动作,悬疑,中国大陆,国语,unknown,unknown,2013,门徒,毒战,窃听风云,寒战2,杀破狼,湄公河行动,新警察故事,使徒行者,速度与激情6,线人
172,杀人者的记忆法 살인자의 기억법,元新,unknown,unknown,薛景求,金南佶,金雪炫,剧情,悬疑,惊悚,韩国,韩语,unknown,unknown,2017,蒙太奇,不可饶恕,特工,记忆之夜,追击者,目击者之追凶,那家伙的声音,杀人回忆,邻居,电话
173,窃听风云2,麦兆,unknown,unknown,古天乐,刘青云,吴彦祖,剧情,动作,悬疑,中国香港,国语,unknown,unknown,2011,窃听风云,寒战,门徒,暗战,毒战,扫毒,枪王之王,无间道3：终极无间,线人,新警察故事
174,岁月风云之上海皇帝 歲月風雲之上海皇帝,潘文,unknown,unknown,吕良伟,郑则仕,徐锦江,剧情,悬疑,犯罪,中国香港,国语,unknown,unknown,1993,上海皇帝之雄霸天下,跛豪,四大家族之龙虎兄弟,五亿探长雷洛传1：雷老虎,黑金,黑社会,O记三合会档案,龙在边缘,江湖情,古惑仔之人在江湖
175,心理游戏 The Game,大卫·芬,unknown,unknown,迈克尔·道格拉斯,西恩·潘,黛博拉·卡拉·安格,剧情,动作,悬疑,美国,英语,unknown,unknown,1997,生死停留,记忆碎片,非常嫌疑犯,穆赫兰道,一级恐惧,机械师,十二宫,万能钥匙,禁闭岛,小岛惊魂
176,恶魔 Les Diaboliques,亨利-乔治·克鲁,unknown,unknown,西蒙·西涅莱,薇拉·克劳佐,保罗·默里斯,剧情,悬疑,惊悚,法国,法语,unknown,unknown,1955,恐惧的代价,第三人,乌鸦,双重赔偿,M就是凶手,桃色血案,电话谋杀案,足迹,唐人街,历劫佳人
177,海市蜃楼 Durante la tormenta,奥里奥尔·保,unknown,unknown,阿德里亚娜·乌加特,奇诺·达林,阿尔瓦罗·莫奇,科幻,悬疑,惊悚,西班牙,西班牙语,unknown,unknown,2018,看不见的客人,利刃出鞘,网络谜踪,禁闭岛,恐怖游轮,致命魔术,记忆碎片,彗星来的那一夜,蝴蝶效应,密室逃生
178,贵妇失踪记 The Lady Vanishes,阿尔弗雷德·希区柯,unknown,unknown,玛格丽特·洛克伍德,迈克尔·雷德格瑞夫,保罗·卢卡斯,喜剧,悬疑,惊悚,英国,英语,unknown,unknown,1938,深闺疑云,三十九级台阶,擒凶记,爱德华大夫,艳贼,辣手摧花,火车怪客,怪尸案,美人计,西北偏北
179,踏血寻梅 踏血尋梅,翁子,unknown,unknown,郭富城,春夏,白只,剧情,悬疑,犯罪,中国香港,国语,unknown,unknown,2015,神探,杀人回忆,门徒,追凶者也,白日焰火,烈日灼心,血观音,心迷宫,暴裂无声,看不见的客人
180,第三人 The Third Man,卡罗尔·里,unknown,unknown,约瑟夫·科顿,阿莉达·瓦利,奥逊·威尔斯,悬疑,惊悚,黑色电影,英国,英语,unknown,unknown,1949,马耳他之鹰,双重赔偿,放大,M就是凶手,唐人街,西北偏北,夜长梦多,历劫佳人,桃色血案,审判
181,捕蝇纸 Flypaper,罗伯·明可,unknown,unknown,帕特里克·德姆西,艾什莉·贾德,蒂姆·布雷克·尼尔森,喜剧,悬疑,犯罪,美国,英语,unknown,unknown,2011,微不足道,七个神经病,火柴人,宿醉,非常嫌疑犯,偷拐抢骗,热血警探,局内人,杀手没有假期,王牌对王牌
182,机械姬 Ex Machina,亚历克斯·加,unknown,unknown,艾丽西亚·维坎德,多姆纳尔·格里森,奥斯卡·伊萨克,科幻,悬疑,惊悚,英国,英语,unknown,unknown,2014,这个男人来自地球,降临,前目的地,我，机器人,十二猴子,明日边缘,银翼杀手2049,月球,普罗米修斯,第九区
183,分手的决心 헤어질 결심,朴赞,unknown,unknown,汤唯,朴海日,李贞贤,剧情,悬疑,犯罪,韩国,韩语,unknown,unknown,2022,花束般的恋爱,燃烧,利刃出鞘,看不见的客人,偶然与想象,杀人回忆,控方证人,智齿,爱情神话,南方车站的聚会
184,怒 怒り,李相,unknown,unknown,渡边谦,森山未来,松山研一,剧情,爱情,悬疑,日本,日语,unknown,unknown,2016,愚行录,嫌疑人X的献身,金色梦乡,白雪公主杀人事件,如月疑云,看不见的客人,去年冬天与你分手,燃烧,网络谜踪,每分钟120击
185,无声言证 Mute Witness,安东尼·威,unknown,unknown,玛丽娜·奇蒂娜 Marina Zudina,菲·雷普利,艾凡·里察斯,悬疑,惊悚,犯罪,俄罗斯,俄语,unknown,unknown,1995,危情十日,旧日噩梦,万能钥匙,小岛惊魂,女尸谜案,死路,罗斯玛丽的婴儿,黑暗面,当你熟睡,幻影凶间
186,非常公寓 L'appartement,吉勒斯·米莫,unknown,unknown,罗曼娜·波琳热,文森特·卡索,让-菲利普·艾科菲,剧情,爱情,悬疑,法国,法语,unknown,unknown,1996,极地恋人,对她说,芳芳,祖与占,午夜巴塞罗那,面纱,纯真年代,新桥恋人,爱在日落黄昏时,英国病人
187,局内人 Inside Man,斯派克·,unknown,unknown,丹泽尔·华盛顿,克里夫·欧文,朱迪·福斯特,剧情,悬疑,惊悚,美国,英语,unknown,unknown,2006,王牌对王牌,银行大劫案,非常嫌疑犯,洛城机密,火柴人,守法公民,破绽,训练日,神秘拼图,十一罗汉
188,幻影凶间 1408,米凯尔·哈弗斯特罗,unknown,unknown,约翰·库萨克,塞缪尔·杰克逊,托尼·夏尔赫布,悬疑,恐怖,奇幻,美国,英语,unknown,unknown,2007,寂静岭,死寂,潜伏,鬼影,小岛惊魂,万能钥匙,招魂,闪灵,死神来了,黑暗侵袭
189,电话 콜,李聪,unknown,unknown,朴信惠,全钟瑞,金成铃,剧情,悬疑,惊悚,韩国,韩语,unknown,unknown,2020,隐形人,恐怖游轮,万能钥匙,逃出绝命镇,解除好友2：暗网,记忆之夜,致命感应,招魂,孤儿怨,饥饿站台
190,魔女 마녀,朴勋,unknown,unknown,金多美,赵敏修,朴熙顺,动作,悬疑,unknown,韩国,韩语,unknown,unknown,2018,安娜,魔女2,升级,恶人传,从邪恶中拯救我,疾速追杀3,超体,犯罪都市2,孤胆特工,嫌疑人
191,福尔摩斯先生 Mr. Holmes,比尔·康,unknown,unknown,伊恩·麦克莱恩,劳拉·琳妮,真田广之,剧情,悬疑,犯罪,英国,英语,unknown,unknown,2015,锅匠，裁缝，士兵，间谍,大侦探福尔摩斯2：诡影游戏,罪恶之家,神探夏洛克：可恶的新娘,利刃出鞘,记忆碎片,致命魔术,看不见的客人,非常嫌疑犯,龙纹身的女孩
192,空中营救 Non-Stop,佐米·希尔,unknown,unknown,连姆·尼森,朱丽安·摩尔,斯科特·麦克纳里,动作,悬疑,惊悚,英国,英语,unknown,unknown,2014,飓风营救,金蝉脱壳,谍影重重3,碟中谍3,惊天危机,生死狙击,不明身份,速度与激情6,通勤营救,空中监狱
193,吾栖之肤 La piel que habito,佩德罗·阿莫多,unknown,unknown,安东尼奥·班德拉斯,埃伦娜·安纳亚,玛丽萨·帕雷德斯,剧情,悬疑,惊悚,西班牙,西班牙语,unknown,unknown,2011,穆赫兰道,龙纹身的女孩,万能钥匙,小岛惊魂,恐怖游轮,记忆碎片,惊魂记,孤儿怨,禁闭岛,黑暗面
194,鲸鱼马戏团 Werckmeister harmóniák,贝拉·塔,unknown,unknown,拉尔斯·鲁道夫,彼得·菲茨,汉娜·许古拉,剧情,悬疑,unknown,匈牙利,匈牙利语,unknown,unknown,2000,撒旦探戈,放大,来自伦敦的男人,第三人,审判,乡村牧师日记,隐藏摄像机,迷魂记,唐人街,M就是凶手
195,误杀,柯汶,unknown,unknown,肖央,谭卓,陈冲,剧情,悬疑,犯罪,中国大陆,国语,unknown,unknown,2019,看不见的客人,利刃出鞘,悬崖之上,调音师,无双,猫鼠游戏,唐人街探案,记忆大师,杀人回忆,全民目击
196,午夜凶铃 リング,中田秀,unknown,unknown,松岛菜菜子,真田广之,竹内结子,悬疑,恐怖,unknown,日本,日语,unknown,unknown,1998,咒怨,午夜凶铃2：贞子缠身,鬼影,鬼来电,山村老尸,寂静岭,死神来了,驱魔人,死寂,闪灵
197,断头谷 Sleepy Hollow,蒂姆·波,unknown,unknown,约翰尼·德普,克里斯蒂娜·里奇,米兰达·理查森,悬疑,恐怖,奇幻,美国,英语,unknown,unknown,1999,理发师陶德,夜访吸血鬼,寂静岭,惊情四百年,驱魔人,闪灵,来自地狱,死寂,小岛惊魂,秘窗
198,机械师 The Machinist,布拉德·安德,unknown,unknown,克里斯蒂安·贝尔,詹妮弗·杰森·李,艾塔娜·桑切斯-希洪,剧情,悬疑,惊悚,西班牙,西班牙语,unknown,unknown,2004,心理游戏,生死停留,记忆碎片,万能钥匙,穆赫兰道,小岛惊魂,非常嫌疑犯,禁闭岛,一级恐惧,恐怖游轮
199,谍影重重5 Jason Bourne,保罗·格林格拉,unknown,unknown,马特·达蒙,汤米·李·琼斯,艾丽西亚·维坎德,动作,悬疑,惊悚,美国,英语,unknown,unknown,2016,谍影重重2,碟中谍3,飓风营救,速度与激情4,生死狙击,疾速追杀2,美国队长3,王牌特工：特工学院,黑客帝国2：重装上阵,蝙蝠侠：侠影之谜
200,猎头游戏 Hodejegerne,莫滕·泰杜,unknown,unknown,阿卡塞尔·亨涅,西诺薇·玛考迪·伦德,尼古拉·科斯特-瓦尔道,悬疑,惊悚,犯罪,挪威,unknown,unknown,unknown,2011,女尸谜案,囚徒,无懈可击,非常嫌疑犯,我是谁：没有绝对安全的系统,一级恐惧,心理游戏,无声言证,黑暗面,大卫·戈尔的一生
201,藏獒多吉,小岛正,unknown,unknown,刘婧荦,阿兰,芒莱,剧情,动画,悬疑,中国大陆,国语,unknown,unknown,2011,魁拔之十万火急,猫的报恩,幽灵公主,九色鹿,风之谷,闪电狗,三个和尚,天空之城,白雪公主和七个小矮人,花木兰
202,魔术师 The Illusionist,尼尔·博,unknown,unknown,爱德华·诺顿,保罗·吉亚玛提,杰西卡·贝尔,剧情,爱情,悬疑,美国,英语,unknown,unknown,2006,致命魔术,心理游戏,生死停留,记忆碎片,天使之城,时间旅行者的妻子,穆赫兰道,非常嫌疑犯,一级恐惧,大侦探福尔摩斯
203,八美图 8 femmes,弗朗索瓦·欧,unknown,unknown,达尼埃尔·达里约,凯瑟琳·德纳芙,伊莎贝尔·于佩尔,喜剧,悬疑,歌舞,法国,法语,unknown,unknown,2002,泳池情杀案,高斯福庄园,尼罗河上的惨案,沙之下,放大,爱德华大夫,东方快车谋杀案,阳光下的罪恶,后窗,穆赫兰道
204,八面埋伏 Mindhunters,雷尼·哈,unknown,unknown,凯瑟琳·莫里斯,约翰尼·李·米勒,LL Cool J,剧情,悬疑,惊悚,荷兰,荷兰语,unknown,unknown,2004,万能钥匙,心理游戏,玩命记忆,小岛惊魂,生死停留,幻影凶间,恐怖游轮,豺狼计划,狙击电话亭,致命ID
205,血迷宫 Blood Simple,乔尔·科,unknown,unknown,约翰·盖兹,弗兰西斯·麦克多蒙德,丹·哈达亚,剧情,悬疑,惊悚,美国,英语,unknown,unknown,1984,冰血暴,唐人街,缺席的人,巴顿·芬克,双重赔偿,第三人,杀手,西北偏北,老无所依,独行杀手
206,十二宫 Zodiac,大卫·芬,unknown,unknown,杰克·吉伦哈尔,马克·鲁弗洛,安东尼·爱德华兹,剧情,悬疑,惊悚,美国,英语,unknown,unknown,2007,记忆碎片,非常嫌疑犯,龙纹身的女孩,心理游戏,一级恐惧,七宗罪,穆赫兰道,囚徒,禁闭岛,追随
207,咒怨 呪怨,清水,unknown,unknown,奥菜惠,伊东美咲,上原美佐,悬疑,恐怖,unknown,日本,日语,unknown,unknown,2002,咒怨2,午夜凶铃,鬼影,寂静岭,鬼来电,山村老尸,死寂,死神来了,潜伏,厉鬼将映
208,三十九级台阶 The 39 Steps,阿尔弗雷德·希区柯,unknown,unknown,罗伯特·多纳特,玛德琳·卡洛,露西·曼海姆,悬疑,惊悚,犯罪,英国,英语,unknown,unknown,1935,贵妇失踪记,深闺疑云,擒凶记,爱德华大夫,辣手摧花,火车怪客,艳贼,西北偏北,美人计,捉贼记
209,爱的成人式 イニシエーション・ラブ,堤幸,unknown,unknown,松田翔太,前田敦子,木村文乃,剧情,爱情,悬疑,日本,日语,unknown,unknown,2015,如月疑云,白雪公主杀人事件,嫌疑人X的献身,诈欺游戏 电影版,乌鸦的拇指,去年冬天与你分手,金色梦乡,愚行录,看不见的客人,花束般的恋爱
210,永无止境 Limitless,尼尔·博,unknown,unknown,布莱德利·库珀,艾比·考尼什,罗伯特·德尼罗,科幻,悬疑,惊悚,美国,英语,unknown,unknown,2011,源代码,这个男人来自地球,我，机器人,我是传奇,十二猴子,少数派报告,异次元骇客,前目的地,明日边缘,第九区
211,上海皇帝之雄霸天下,潘文,unknown,unknown,吕良伟,郑则仕,徐锦江,剧情,悬疑,犯罪,中国香港,国语,unknown,unknown,1993,岁月风云之上海皇帝,跛豪,四大家族之龙虎兄弟,五亿探长雷洛传1：雷老虎,黑金,O记三合会档案,黑社会,龙在边缘,江湖情,濠江风云
212,红色小提琴 Le violon rouge,弗朗索瓦·吉拉,unknown,unknown,卡洛·切基,让-吕克·比多,张艾嘉,剧情,爱情,悬疑,加拿大,英语,unknown,unknown,1998,屋顶上的小提琴手,迷墙,音乐会,她比烟花寂寞,莫扎特传,闪亮的风采,黑暗中的舞者,探戈狂恋,日出时让悲伤终结,情键四分钟
213,愚行录 愚行録,石川,unknown,unknown,妻夫木聪,满岛光,小出惠介,剧情,悬疑,犯罪,日本,日语,unknown,unknown,2016,去年冬天与你分手,怒,白雪公主杀人事件,如月疑云,乌鸦的拇指,金色梦乡,摇曳的心,22年后的自白,嫌疑人X的献身,祈祷落幕时
214,撒旦探戈 Sátántangó,贝拉·塔,unknown,unknown,米哈伊·维格,普吉·霍瓦特,拉斯洛·费卢戈希,剧情,悬疑,unknown,匈牙利,匈牙利语,unknown,unknown,1994,鲸鱼马戏团,放大,第三人,来自伦敦的男人,审判,乡村牧师日记,迷魂记,追随,M就是凶手,唐人街
215,扬名立万,刘循子,unknown,unknown,尹正,邓家佳,喻恩泰,剧情,喜剧,悬疑,中国大陆,国语,unknown,unknown,2021,悬崖之上,利刃出鞘,误杀,看不见的客人,唐人街探案,调音师,控方证人,网络谜踪,禁闭岛,致命魔术
216,搜索,陈凯,unknown,unknown,高圆圆,姚晨,赵又廷,剧情,悬疑,unknown,中国大陆,国语,unknown,unknown,2012,单身男女,北京遇上西雅图,春娇与志明,爱,画皮,失恋33天,志明与春娇,山楂树之恋,一天,泰坦尼克号
217,爱你长久 Il y a longtemps que je t'aime,菲利浦·克洛代,unknown,unknown,克里斯汀·斯科特·托马斯,艾尔莎·泽贝斯坦,塞尔奇·哈赛纳维奇,剧情,悬疑,unknown,法国,法语,unknown,unknown,2008,余生的第一天,蕾切尔的婚礼,克莱默夫妇,夏日时光,大河恋,天伦之旅,兔子洞,八月：奥色治郡,又一年,姐姐的守护者
218,怪宴 Murder by Death,罗伯特·穆,unknown,unknown,艾琳·布伦南,杜鲁门·卡波特,詹姆斯·可可,喜剧,悬疑,惊悚,美国,英语,unknown,unknown,1976,妙探寻凶,足迹,勾魂游戏,如月疑云,阳光下的罪恶,尼罗河上的惨案,电话谋杀案,死亡计中计,东方快车谋杀案,第三人
219,冰山上的来客,赵心,unknown,unknown,梁音,谷毓英,恩和森,剧情,悬疑,战争,中国大陆,国语,unknown,unknown,1963,英雄儿女,红色娘子军,渡江侦察记,平原游击队,林海雪原,野火春风斗古城,霓虹灯下的哨兵,永不消逝的电波,铁道游击队,洪湖赤卫队
220,沼泽深处的女孩 Where the Crawdads Sing,奥利维亚·纽,unknown,unknown,黛西·埃德加-琼斯,泰勒·约翰·史密斯,哈里斯·迪金森,剧情,爱情,悬疑,美国,英语,unknown,unknown,2022,分手的决心,利刃出鞘2,花束般的恋爱,黑匣子,套装,看不见的客人,世界上最糟糕的人,宿敌,海市蜃楼,爱情神话
221,达·芬奇密码 The Da Vinci Code,朗·霍华,unknown,unknown,汤姆·汉克斯,奥黛丽·塔图,伊恩·麦克莱恩,悬疑,惊悚,unknown,美国,英语,unknown,unknown,2006,天使与魔鬼,大侦探福尔摩斯2：诡影游戏,记忆碎片,禁闭岛,致命魔术,但丁密码,七宗罪,蝴蝶效应,风声,盗梦空间
222,斯托克 Stoker,朴赞,unknown,unknown,米娅·华希科沃斯卡,妮可·基德曼,马修·古迪,剧情,悬疑,惊悚,美国,英语,unknown,unknown,2013,小岛惊魂,穆赫兰道,副作用,罗斯玛丽的婴儿,龙纹身的女孩,惊魂记,闪灵,危情十日,一级恐惧,追随
223,捉迷藏 Hide and Seek,约翰·波尔,unknown,unknown,罗伯特·德尼罗,达科塔·范宁,法米克·詹森,悬疑,惊悚,恐怖,美国,英语,unknown,unknown,2005,小岛惊魂,死寂,万能钥匙,潜伏,幻影凶间,寂静岭,孤儿怨,鬼影,招魂,孤堡惊情
224,杀妻总动员 Survive Style 5+,关口,unknown,unknown,浅野忠信,桥本丽香,阿部宽,爱情,悬疑,惊悚,日本,日语,unknown,unknown,2004,鲨皮男与蜜桃女,无厘头森林之第一次接触,死者田园祭,爱的曝光,8万伏特霹雳神龙,裸体午餐,人体雕像,洛基恐怖秀,死亡解剖,东京僵尸
225,咒怨 录像带版 呪怨 ビデオオリジナル版,清水,unknown,unknown,藤贵子,大家由祐子,柳忧怜,悬疑,恐怖,unknown,日本,日语,unknown,unknown,2000,咒怨2 录像带版,午夜凶铃,鬼影,鬼来电,死神的十字路口,厉鬼将映,灵异咒,山村老尸,潜伏,驱魔人
226,意外,郑保,unknown,unknown,古天乐,任贤齐,冯淬帆,悬疑,惊悚,unknown,中国香港,国语,unknown,unknown,2009,神探,窃听风云,门徒,跟踪,大追捕,风声,夺命金,追击者,非常嫌疑犯,全民目击
227,暗夜恐惧 Peur(s) du noir,Blutc,unknown,unknown,Gil Alma,Aure Atika,François Creton,剧情,动画,悬疑,法国,法语,unknown,unknown,2008,猫汤,恶童,疯狂约会美丽都,心理游戏,魔术师,恐怖故事,捉迷藏,我在伊朗长大,捷克惊魂夜,圣诞夜惊魂
228,生死停留 Stay,马克·福斯,unknown,unknown,伊万·麦克格雷格,瑞恩·高斯林,娜奥米·沃茨,剧情,悬疑,惊悚,美国,英语,unknown,unknown,2005,心理游戏,穆赫兰道,记忆碎片,万能钥匙,机械师,小岛惊魂,死亡幻觉,非常嫌疑犯,禁闭岛,恐怖游轮
229,奇遇 L'avventura,米开朗基罗·安东尼奥,unknown,unknown,加布里埃尔·费泽蒂,莫尼卡·维蒂,蕾雅·马萨利,剧情,悬疑,unknown,意大利,意大利语,unknown,unknown,1960,蚀,夜,放大,红色沙漠,卡比利亚之夜,去年在马里昂巴德,祖与占,大路,甜蜜的生活,亚特兰大号
230,特别响，非常近 Extremely Loud and Incredibly Close,史蒂芬·戴德,unknown,unknown,桑德拉·布洛克,汤姆·汉克斯,马克斯·冯·叙多夫,剧情,悬疑,家庭,美国,英语,unknown,unknown,2011,后裔,兔子洞,八月：奥色治郡,更好的生活,天伦之旅,内布拉斯加,一次别离,依然爱丽丝,我家买了动物园,雨人
